dataset,model,method,method_label,seed,L,T,site,sigma,sigma_scale,scale_reference,actual_sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0,absolute,1,0,0,20302801,87.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,0,20302901,83.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,1,20302902,82.950000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,2,20302903,83.540000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,3,20302904,83.280000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,4,20302905,83.150000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,0,20303001,73.940000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,1,20303002,74.000000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,2,20303003,74.180000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,3,20303004,73.750000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,4,20303005,74.370000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,0,20303101,61.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,1,20303102,61.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,2,20303103,60.300000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,3,20303104,61.200000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,4,20303105,61.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,1,absolute,1,1,0,20303201,48.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,1,absolute,1,1,1,20303202,48.550000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,1,absolute,1,1,2,20303203,48.560000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
