dataset,model,method,method_label,seed,L,T,site,sigma,sigma_scale,scale_reference,actual_sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0,absolute,1,0,0,20302801,87.260000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.25,absolute,1,0.25,0,20302901,83.130000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.25,absolute,1,0.25,1,20302902,82.360000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.25,absolute,1,0.25,2,20302903,82.900000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.25,absolute,1,0.25,3,20302904,82.800000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.25,absolute,1,0.25,4,20302905,83.440000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.5,absolute,1,0.5,0,20303001,70.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.5,absolute,1,0.5,1,20303002,70.400000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.5,absolute,1,0.5,2,20303003,70.710000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.5,absolute,1,0.5,3,20303004,70.520000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.5,absolute,1,0.5,4,20303005,71.340000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.75,absolute,1,0.75,0,20303101,55.840000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,old_detach,MNE-L2,42,16,16,post_input_if,0.75,absolute,1,0.75,1,20303102,55.360000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
